case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id,BA
403323,"ESA Four Oaks 2 NC, LLC",NC,2.0,single-axis,ground,35.4157,-78.4091,62996,CPLE
401779,"Saluda Solar, LLC",SC,6.8,fixed-tilt,ground,33.9685,-81.7834,60535,SCEG
402024,Downsville DPC Solar,WI,1.0,single-axis,ground,44.8139,-91.8844,60892,MISO
402022,Warren DPC Solar,WI,2.2,single-axis,ground,44.959,-92.52,60890,MISO
403614,New Munich Solar,MN,1.0,single-axis,ground,45.6523,-94.7541,63402,MISO
403572,OE_AZ1,AZ,32.5,single-axis,ground,33.7711,-113.6545,63349,WALC
402493,CDCR (CA)-Solano State Prison,CA,1.1,single-axis,ground,38.3255,-121.9827,61619,CISO
401950,Red Wing Community Solar,MN,4.9,fixed-tilt,ground,44.5471,-92.5103,60796,MISO
402185,Carina Community Solar,MN,3.6,fixed-tilt,ground,44.2792,-92.4033,61179,MISO
402171,Boaz Farm Solar,NC,5.0,fixed-tilt,ground,35.4695,-79.1354,61157,DUK
402537,Buckleberry Solar,NC,52.1,fixed-tilt,ground,35.3802,-77.4043,61693,CPLE
403122,"1025 Traveller Solar, LLC",NC,5.0,single-axis,ground,35.428,-79.1296,62660,CPLE
403123,"1047 Little Mountain Solar, LLC",NC,3.0,single-axis,ground,36.1948,-80.8028,62661,DUK
403121,"Pecan Grove Solar, LLC",NC,5.0,single-axis,ground,35.065,-77.185,62659,CPLE
402843,"Arthur Solar, LLC",NC,5.0,fixed-tilt,ground,34.1722,-78.8309,62136,DUK
401540,Cornell Geneva Solar Farm,NY,2.0,fixed-tilt,ground,42.8627,-77.0329,60150,NYIS
402489,Hinton,OK,3.0,single-axis,ground,35.4941,-98.38,61615,SWPP
401641,Providence Solar,TN,16.0,single-axis,ground,35.5771,-89.0498,60337,TVA
401796,Millington Solar Farm,TN,53.0,single-axis,ground,35.3523,-89.8554,60560,TVA
401629,Woodland Solar Farm,VA,19.7,single-axis,ground,36.8915,-76.6141,60318,PJM
405860,Unity Solar,ME,5.0,single-axis,ground,44.5966,-69.3553,65461,ISNE
403544,"Hyacinth Solar, LLC",MN,1.0,single-axis,ground,44.4734,-93.2022,63312,MISO
403510,"Meeks Solar, LLC",NC,2.0,fixed-tilt,ground,35.8157,-77.291,63267,PJM
405296,"Spartan PV 1, LLC",MI,10.5,fixed-tilt,canopy,42.7188,-84.4882,60945,MISO
402835,"Panda Solar NC 6, LLC",NC,1.0,single-axis,ground,34.3531,-78.7882,62124,CPLE
405322,Westmont 400B,CA,2.2,fixed-tilt,rooftop,33.7642,-118.2857,61349,LDWP
405205,IKEA St. Louis 410,MO,1.0,fixed-tilt,rooftop,38.6334,-90.2448,59714,MISO
405337,UMASS,MA,4.0,fixed-tilt,"canopy,rooftop",42.3915,-72.5342,61603,ISNE
403348,FastSun 13 (CSG),MN,1.0,single-axis,ground,45.8394,-95.1482,63035,MISO
402189,Argo Navis Community Solar,MN,2.7,fixed-tilt,ground,45.2522,-92.7678,61183,MISO
405375,Blue Shld Of Cal- El Dorado Hlls Mtr B,CA,1.5,single-axis,canopy,38.6494,-121.0733,62077,BANC
405986,Alden Road Harvard Solar 1,IL,2.0,single-axis,ground,42.4017,-88.5051,65774,MISO
403587,"GSPP Schneider, LLC",MN,5.0,fixed-tilt,ground,45.5262,-94.2959,63370,MISO
404777,Hoot Lake Solar,MN,49.9,fixed-tilt,ground,46.2789,-96.0361,65066,MISO
401014,Devens,MA,2.0,fixed-tilt,ground,42.559,-71.6261,59358,ISNE
405664,Rice Lake Solar Array,WI,3.8,single-axis,ground,45.5258,-91.7567,64714,MISO
403852,"Huneke (CSG) 2, LLC",MN,1.0,single-axis,ground,44.2667,-92.6672,63821,MISO
403512,Huntley,SC,75.0,single-axis,ground,33.3322,-80.6323,63271,SCEG
401226,Comanche Solar,CO,120.0,single-axis,ground,38.1926,-104.5991,59656,PSCO
405748,North Haven Solar One,CT,1.6,fixed-tilt,ground,41.3769,-72.8371,65109,ISNE
404833,Everglades Solar Energy Center,FL,74.5,fixed-tilt,ground,25.5423,-80.555,65423,FPL
406058,Blackwater Solar,GA,80.0,single-axis,ground,31.3949,-82.6145,66025,SOCO
406076,Maple City,IA,1.5,single-axis,ground,43.2718,-92.7929,66068,AECI
403854,Conagra Foods at St. Elmo,IL,1.8,single-axis,ground,39.0105,-88.8446,63830,MISO
404492,Chimes West Friendship (Nixon Farms),MD,1.2,fixed-tilt,ground,39.2935,-76.9571,59743,PJM
403775,Laurel Village (CSG),MN,1.0,fixed-tilt,ground,45.0863,-94.2118,63679,MISO
403776,Hertzberg Community (CSG),MN,1.0,single-axis,ground,45.4065,-94.6977,63680,MISO
401085,Cornell Snyder Road Solar Array,NY,1.8,fixed-tilt,ground,42.4993,-76.4615,59470,NYIS
