case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id
EIA_64117,Meadowlark Solar,NC,4.9,single-axis,ground-mounted,35.329706,-78.61443,64117
EIA_64132,Oak Hill - Dry Creek,TX,200.0,single-axis,ground-mounted,32.212257,-94.73632,64132
EIA_64210,Bellefield Solar and Energy Storage Farm,CA,500.0,single-axis,ground-mounted,35.062965,-118.0878,64210
EIA_64222,Burt County Solar Hybrid,NE,0.7,single-axis,ground-mounted,41.863778,-96.23217,64222
EIA_64223,Dodge County Solar Hybrid,NE,0.7,single-axis,ground-mounted,41.612,-96.752,64223
EIA_64430,American Beech Solar LLC,NC,140.0,single-axis,ground-mounted,36.144761,-77.50952,64430
EIA_64442,Mt Pleasant Community Center,NY,0.5,single-axis,ground-mounted,41.09999,-73.77155,64442
EIA_64446,Arlington Microgrid,WA,0.5,single-axis,ground-mounted,48.15614,-122.1502,64446
EIA_64509,South River H4 Solar Energy Storage,NC,0.5,single-axis,ground-mounted,35.04247,-78.58698,64509
EIA_64512,Hamlet Solar Energy Storage,NC,0.5,single-axis,ground-mounted,34.846047,-79.73401,64512
EIA_64513,Wake RJ3 Solar Energy Storage,NC,0.5,single-axis,ground-mounted,35.953947,-78.42402,64513
EIA_64536,Prairie Solar LLC,IL,135.0,single-axis,ground-mounted,40.010442,-88.05794,64536
EIA_64564,Arlington Energy Center III,CA,131.0,single-axis,ground-mounted,33.69088,-114.7749,64564
EIA_64567,"Cement City Solar, LLC",MI,20.0,single-axis,ground-mounted,42.084451,-84.13528,64567
EIA_64729,Novel Milbradt Solar LLC,MN,1.0,single-axis,ground-mounted,44.651132,-95.33955,64729
EIA_64745,Black Hollow Sun,CO,150.0,single-axis,ground-mounted,40.616742,-104.8489,64745
EIA_64858,Dolores Canyon Solar,CO,110.0,single-axis,ground-mounted,37.705,-108.755,64858
EIA_65006,Novel Bo Hu 1 Solar (CSG),MN,1.0,single-axis,ground-mounted,44.41552,-93.15442,65006
EIA_65024,Novel Brock Solar LLC CSG,MN,1.0,single-axis,ground-mounted,44.791225,-95.76654,65024
EIA_65072,Fremont CA AutoFactory,CA,0.3,single-axis,ground-mounted,37.49254,-121.9446,65072
EIA_65139,Woodstock Solar One,CT,3.0,single-axis,ground-mounted,41.923166,-71.9614,65139
EIA_65149,East Windsor Solar Two,CT,4.0,single-axis,ground-mounted,41.894366,-72.53211,65149
EIA_65279,Fairhaven E,MA,2.0,single-axis,ground-mounted,42.642,-72.896,65279
EIA_65401,Newton Solar BESS LLC,IL,51.8,single-axis,ground-mounted,38.9361,-88.2781,65401
EIA_65405,"Flint Hills Resources Pine Bend, LLC",MN,45.0,single-axis,ground-mounted,44.45483,-93.02119,65405
EIA_65442,USS Mesa Solar LLC,MN,1.0,single-axis,ground-mounted,44.47093,-95.05092,65442
EIA_65443,USS Wells Creek Solar LLC,MN,1.0,single-axis,ground-mounted,44.234,-92.36531,65443
EIA_65445,Ridgely Energy Farm,TN,177.0,single-axis,ground-mounted,36.306319,-89.46202,65445
