date,padd1a,padd1b
2020-07-15,546.2642857142857,870.1404761904762
2020-08-15,589.5904761904761,853.3857142857144
2020-09-15,1208.5714285714287,1504.8571428571431
2020-10-15,1702.2690476190478,1810.695238095238
2020-11-15,2578.4285714285716,2955.7857142857147
2020-12-15,4494.040476190476,5252.728571428572
2021-01-15,4960.738095238095,5514.82619047619
2021-02-15,4890.2,5587.599999999999
2021-03-15,3926.3714285714286,4591.616666666667
2021-04-15,2001.0,2240.0
2021-05-15,1205.0142857142857,1516.6380952380953
2021-06-15,742.2857142857143,1108.5714285714287
2021-07-15,586.047619047619,934.2071428571429
2021-08-15,682.295238095238,1183.6095238095238
2021-09-15,981.0,1472.7857142857142
2021-10-15,1636.8738095238095,2376.15
2021-11-15,2558.785714285714,3474.785714285714
2021-12-15,4278.073809523809,4882.795238095238
2022-01-15,5551.730952380952,6647.6547619047615
2022-02-15,5001.533333333333,5800.533333333333
2022-03-15,3688.2619047619046,3971.690476190476
