T	BoM MJO RMM phase
julian_day	unitless
    2442934.    	   1.0000000    
    2442935.    	   1.0000000    
    2442936.    	   1.0000000    
    2442937.    	   1.0000000    
    2442938.    	   1.0000000    
    2442939.    	    2.000000    
    2442940.    	    2.000000    
    2442941.    	    2.000000    
    2442942.    	    2.000000    
    2442943.    	    2.000000    
    2442944.    	    2.000000    
    2442945.    	   1.0000000    
    2442946.    	   1.0000000    
    2442947.    	   1.0000000    
    2442948.    	    7.000000    
    2442949.    	    6.000000    
    2442950.    	    3.000000    
    2442951.    	    2.000000    
    2442952.    	    4.000000    
    2442953.    	    5.000000    
    2442954.    	    4.000000    
    2442955.    	    3.000000    
    2442956.    	    2.000000    
    2442957.    	    2.000000    
    2442958.    	    2.000000    
    2442959.    	    2.000000    
    2442960.    	    2.000000    
    2442961.    	    3.000000    
    2442962.    	    3.000000    
    2442963.    	    3.000000    
    2442964.    	    3.000000    
    2442965.    	    2.000000    
    2442966.    	    2.000000    
    2442967.    	    2.000000    
    2442968.    	   1.0000000    
    2442969.    	   1.0000000    
    2442970.    	   1.0000000    
    2442971.    	   1.0000000    
    2442972.    	   1.0000000    
    2442973.    	    4.000000    
    2442974.    	    4.000000    
    2442975.    	    4.000000    
    2442976.    	    4.000000    
    2442977.    	    4.000000    
    2442978.    	    5.000000    
    2442979.    	    5.000000    
    2442980.    	    4.000000    
    2442981.    	    4.000000    
    2442982.    	    4.000000    
    2442983.    	    4.000000    
    2442984.    	    4.000000    
    2442985.    	    4.000000    
    2442986.    	    4.000000    
    2442987.    	    4.000000    
    2442988.    	    2.000000    
    2442989.    	    2.000000    
    2442990.    	    3.000000    
    2442991.    	    3.000000    
    2442992.    	    4.000000    
    2442993.    	    5.000000    
    2442994.    	    5.000000    
    2442995.    	    5.000000    
    2442996.    	    5.000000    
    2442997.    	    6.000000    
    2442998.    	    6.000000    
    2442999.    	    6.000000    
    2443000.    	    7.000000    
    2443001.    	    8.000000    
    2443002.    	   1.0000000    
    2443003.    	   1.0000000    
    2443004.    	   1.0000000    
    2443005.    	    2.000000    
    2443006.    	    2.000000    
    2443007.    	    2.000000    
    2443008.    	    2.000000    
    2443009.    	    2.000000    
    2443010.    	    3.000000    
    2443011.    	    3.000000    
    2443012.    	    3.000000    
    2443013.    	    3.000000    
    2443014.    	    3.000000    
    2443015.    	    3.000000    
    2443016.    	    3.000000    
    2443017.    	    3.000000    
    2443018.    	    3.000000    
    2443019.    	    4.000000    
    2443020.    	    4.000000    
    2443021.    	    5.000000    
    2443022.    	    5.000000    
    2443023.    	    5.000000    
    2443024.    	    5.000000    
    2443025.    	    5.000000    
    2443026.    	    5.000000    
    2443027.    	    5.000000    
    2443028.    	    6.000000    
    2443029.    	    6.000000    
    2443030.    	    6.000000    
    2443031.    	    6.000000    
    2443032.    	    6.000000    
    2443033.    	    6.000000    
    2443034.    	    6.000000    
    2443035.    	    6.000000    
    2443036.    	    6.000000    
    2443037.    	    6.000000    
    2443038.    	    7.000000    
    2443039.    	    7.000000    
    2443040.    	    7.000000    
    2443041.    	    7.000000    
    2443042.    	    7.000000    
    2443043.    	    7.000000    
    2443044.    	    8.000000    
    2443045.    	    8.000000    
    2443046.    	    8.000000    
    2443047.    	   1.0000000    
    2443048.    	   1.0000000    
    2443049.    	   1.0000000    
    2443050.    	   1.0000000    
    2443051.    	   1.0000000    
    2443052.    	   1.0000000    
    2443053.    	   1.0000000    
    2443054.    	   1.0000000    
    2443055.    	   1.0000000    
    2443056.    	   1.0000000    
    2443057.    	   1.0000000    
    2443058.    	    2.000000    
    2443059.    	    2.000000    
    2443060.    	    2.000000    
    2443061.    	    2.000000    
    2443062.    	    3.000000    
    2443063.    	    3.000000    
    2443064.    	    3.000000    
    2443065.    	    4.000000    
    2443066.    	    4.000000    
    2443067.    	    4.000000    
    2443068.    	    4.000000    
    2443069.    	    4.000000    
    2443070.    	    4.000000    
    2443071.    	    5.000000    
    2443072.    	    5.000000    
    2443073.    	    5.000000    
    2443074.    	    5.000000    
    2443075.    	    5.000000    
    2443076.    	    5.000000    
    2443077.    	    5.000000    
    2443078.    	    5.000000    
    2443079.    	    6.000000    
    2443080.    	    7.000000    
    2443081.    	    7.000000    
    2443082.    	    7.000000    
    2443083.    	    7.000000    
    2443084.    	    7.000000    
    2443085.    	    7.000000    
    2443086.    	    6.000000    
    2443087.    	    5.000000    
    2443088.    	    5.000000    
    2443089.    	    5.000000    
    2443090.    	    3.000000    
    2443091.    	    3.000000    
    2443092.    	   1.0000000    
    2443093.    	    2.000000    
    2443094.    	    2.000000    
    2443095.    	    2.000000    
    2443096.    	    2.000000    
    2443097.    	    2.000000    
    2443098.    	    2.000000    
    2443099.    	    3.000000    
    2443100.    	    3.000000    
    2443101.    	    3.000000    
    2443102.    	    3.000000    
    2443103.    	    3.000000    
    2443104.    	    4.000000    
    2443105.    	    4.000000    
    2443106.    	    4.000000    
    2443107.    	    4.000000    
    2443108.    	    4.000000    
    2443109.    	    5.000000    
    2443110.    	    5.000000    
    2443111.    	    4.000000    
    2443112.    	    5.000000    
    2443113.    	    5.000000    
    2443114.    	    5.000000    
    2443115.    	    5.000000    
    2443116.    	    5.000000    
    2443117.    	    5.000000    
    2443118.    	    6.000000    
    2443119.    	    6.000000    
    2443120.    	    6.000000    
    2443121.    	    6.000000    
    2443122.    	    6.000000    
    2443123.    	    6.000000    
    2443124.    	    6.000000    
    2443125.    	    7.000000    
    2443126.    	    7.000000    
    2443127.    	    8.000000    
    2443128.    	    8.000000    
    2443129.    	    8.000000    
    2443130.    	    8.000000    
    2443131.    	   1.0000000    
    2443132.    	   1.0000000    
    2443133.    	   1.0000000    
    2443134.    	   1.0000000    
    2443135.    	   1.0000000    
    2443136.    	   1.0000000    
    2443137.    	   1.0000000    
    2443138.    	   1.0000000    
    2443139.    	    2.000000    
    2443140.    	    2.000000    
    2443141.    	    2.000000    
    2443142.    	    2.000000    
    2443143.    	    2.000000    
