utc,tmpf,dwpf,cloud,load,ens_p10,ens_p50,ens_p90
2026-07-05 21:00:00+00:00,85.92727624834448,69.55178755023927,59.31346974731986,133628.25755015103,125538.84875918007,130185.08616034556,139294.90536212854
2026-07-05 22:00:00+00:00,84.45502334405863,69.65295092220522,59.939043847753894,134430.93854521567,124093.75701809404,129033.06689122415,139772.19379401839
2026-07-05 23:00:00+00:00,82.82414022883852,69.75102420987136,60.572173154269876,131920.3339494052,120770.04604045166,125822.32769357087,137264.66380811998
2026-07-06 00:00:00+00:00,81.20052345339644,69.85411273846464,61.19828513137198,128196.43147621954,117024.64250653902,122239.50737102056,134408.21609822757
2026-07-06 01:00:00+00:00,79.4948084761276,69.65223990578545,61.326031018553294,123017.73618280208,112973.01495223981,117170.20943745959,127808.78944881992
2026-07-06 02:00:00+00:00,77.80580012031325,69.45175977962778,61.45151597949981,118385.16454212106,107068.2779424221,114356.79422460924,124114.08483607054
2026-07-06 03:00:00+00:00,76.2537605254464,69.2520625946887,61.57339368037014,112152.5183859054,101653.99364446822,107674.74930160565,116680.05854763136
2026-07-06 04:00:00+00:00,74.95382943417336,69.0406887523257,61.70424170167313,108723.85097080411,97847.90531707692,104811.81859225802,114084.28662494718
2026-07-06 05:00:00+00:00,74.07958180240455,68.8369067757504,61.83464070437449,101470.51340624652,90923.93003279134,98848.81077046148,107780.90406660755
2026-07-06 06:00:00+00:00,73.56804427354146,68.64836735763096,61.95121956611226,98659.04701784489,88627.47534524277,95234.10981799726,103233.57226373482
2026-07-06 07:00:00+00:00,73.28799244348305,68.66419810467336,62.42377048025884,95470.97356454498,86144.54995810875,92785.7455855816,100960.62917336062
2026-07-06 08:00:00+00:00,73.02375180586236,68.68952931959814,62.9142906731591,93629.66694294497,85616.01185309947,91553.6825338846,99865.02968427676
2026-07-06 09:00:00+00:00,72.73786986748227,68.70611376110172,63.39621052894312,93166.1909593591,86166.11150036687,92006.57992457258,100423.548008841
2026-07-06 10:00:00+00:00,72.53216141857013,68.70238247452238,63.86607860805109,95716.48192658386,87931.68887014725,93836.03035852543,103635.81401810836
2026-07-06 11:00:00+00:00,72.92385071267975,68.74372939855911,64.34472171052818,98099.66685849833,90465.45185144574,96631.79678857894,105879.90349320283
2026-07-06 12:00:00+00:00,73.99871211561917,68.79969530638726,64.82350069009988,102208.55790124639,94685.15600520468,100706.34191725396,110130.71234258627
2026-07-06 13:00:00+00:00,75.55253043541101,68.76652583094916,63.80035934454544,106188.91600611476,98017.79710107103,105400.3538320313,113948.6009779131
2026-07-06 14:00:00+00:00,77.2478935452573,68.72023491353231,62.78076931609588,110810.49839794119,101831.98062053292,108672.41648991089,118618.60699554782
2026-07-06 15:00:00+00:00,78.95009722004399,68.67571839583431,61.76156710635607,117275.52877985123,106429.69635375608,114028.66156496486,122939.34572645651
2026-07-06 16:00:00+00:00,80.62546467604959,68.63877734325244,60.739248538234186,122367.07179260706,109844.73888126068,118482.73731102854,129366.39966376149
2026-07-06 17:00:00+00:00,82.06101373705991,68.59671534717545,59.72312367980282,126991.93324211861,115482.83988422333,123117.16712324256,134782.8748438851
2026-07-06 18:00:00+00:00,83.05781011335861,68.54585311620913,58.69846664471757,132930.50885723738,119568.68179322188,127898.70388988046,139590.80738927852
2026-07-06 19:00:00+00:00,83.4942662021447,68.50501595039772,58.04923721721416,136101.90582343252,122080.56582259363,131122.78925524594,141917.33663820438
2026-07-06 20:00:00+00:00,83.41120219979801,68.45401189632898,57.410522450055566,137537.76882078833,122281.36883485869,132195.41849513576,142761.95408485268
2026-07-06 21:00:00+00:00,82.78917339090034,68.40919859242615,56.76381849451843,137777.45199615342,124208.00537015063,132818.2971859221,143161.28756611657
2026-07-06 22:00:00+00:00,81.79925886384747,68.36808247185807,56.1098098845045,136974.8043922716,123273.86264323804,131772.54951322963,142546.36511156883
2026-07-06 23:00:00+00:00,80.6211267007316,68.31537038611688,55.47984664205012,132870.82857722236,120676.59796725518,128807.50914689152,140433.59479382462
2026-07-07 00:00:00+00:00,79.36996160363653,68.27374077060313,54.83207710904955,128171.22274296572,115612.0116820574,124219.22980993715,136683.07310248082
2026-07-07 01:00:00+00:00,77.94740672482723,68.04229140296037,54.68170582580416,124910.9853421848,112078.12732772573,121104.84646425526,131720.27340967432
2026-07-07 02:00:00+00:00,76.43179406535775,67.80269250856145,54.53768092584609,120439.4328594541,107419.84887276145,116064.91563744172,126985.4201163718
2026-07-07 03:00:00+00:00,74.9405232659577,67.56991086235352,54.38831395441961,113218.35802044073,102584.06418948059,108592.43163392844,119097.13734877699
2026-07-07 04:00:00+00:00,73.63150255558008,67.33475538677536,54.23611615331288,106951.77084258094,95808.09647647802,102255.88957451169,111282.08276061872
2026-07-07 05:00:00+00:00,72.76214142662297,67.1001335902191,54.0926544059806,99600.19957980142,91591.82212090297,97800.48360827906,105695.88418817188
2026-07-07 06:00:00+00:00,72.24716913656671,66.85661394443311,53.94420747915333,94842.63518553608,88327.8195563102,93212.43127971387,101119.3647550762
2026-07-07 07:00:00+00:00,71.93662687021113,66.86421987207225,54.6426076775789,91867.92237875823,85756.52378504555,90358.86378802362,98289.62317880992
2026-07-07 08:00:00+00:00,71.58795691165358,66.86217061464139,55.33857288159122,90432.64292413373,84622.70342086413,88986.07452185996,96281.88711601861
2026-07-07 09:00:00+00:00,71.22178876192822,66.8348619322917,56.042045449434674,89941.41129108553,84166.17685365287,88848.64643157585,96168.21757819172
2026-07-07 10:00:00+00:00,70.92401374318806,66.78802857431867,56.74061411062938,91602.31696965746,85838.21340689174,90046.30570767283,98248.37114218711
2026-07-07 11:00:00+00:00,71.37759238466339,66.78679182376388,57.44756087106312,96066.47487950083,89479.37008559384,94048.01831687753,101831.85799801571
2026-07-07 12:00:00+00:00,72.62591333892966,66.81722287362594,58.14365146462999,99194.95043160017,93361.64233775286,98095.36269461301,106852.6999002856
2026-07-07 13:00:00+00:00,74.45728557635931,66.77714740699749,57.95522449003531,103377.08470421754,96502.3143452643,101843.4823587741,110762.66275675206
2026-07-07 14:00:00+00:00,76.36234152757163,66.6839623965866,57.77753158564319,106863.74860736982,99053.16583105469,105426.39738530629,115003.86051612011
2026-07-07 15:00:00+00:00,78.29270123454543,66.60894138008241,57.60917810325783,111839.8295537479,103404.3698317236,109986.84236588035,119254.25939839038
2026-07-07 16:00:00+00:00,80.19677490588238,66.53022303493022,57.43378367904165,115797.91968422417,107278.25473340046,114529.6652788834,124990.93641086965
2026-07-07 17:00:00+00:00,81.86135724443366,66.45947802651929,57.247834668843204,121018.44056863087,112722.20726416461,119086.08528077832,130536.75901495383
2026-07-07 18:00:00+00:00,83.05678502327909,66.37267524902943,57.0691541419576,125621.98868110163,116551.90613255858,124508.50135000695,135167.6537550441
2026-07-07 19:00:00+00:00,83.67761424389677,66.40988041863577,56.40346002684967,131089.43930152286,118650.16996314639,128517.43723380836,139119.0721954249
2026-07-07 20:00:00+00:00,83.75643857150385,66.43460703904223,55.72873931299945,131896.18814655952,120195.47956267302,129999.25358782517,139972.54058837605
