region,valid_time,forecast_MW,cycle,lead_hours,actual_MW,curtailment_MW,forecast_minus_curtail_MW,error_after_curtail_MW,error_MW
CAISO,2026-07-01 16:00:00,2949.5742572280387,2026-07-01 00:00:00,16.0,2866.25,0.0,2949.5742572280387,83.32425722803873,83.32425722803873
CAISO,2026-07-01 17:00:00,2830.2625028753423,2026-07-01 00:00:00,17.0,2638.833333333333,0.0,2830.2625028753423,191.42916954200928,191.42916954200928
CAISO,2026-07-01 18:00:00,3528.0584943104896,2026-07-01 06:00:00,12.0,2554.583333333333,0.0,3528.0584943104896,973.4751609771565,973.4751609771565
CAISO,2026-07-01 19:00:00,4311.683450605957,2026-07-01 06:00:00,13.0,2970.0,0.0,4311.683450605957,1341.6834506059568,1341.6834506059568
CAISO,2026-07-01 20:00:00,4819.883100428513,2026-07-01 06:00:00,14.0,3570.75,0.0,4819.883100428513,1249.133100428513,1249.133100428513
CAISO,2026-07-01 21:00:00,5363.745215684502,2026-07-01 06:00:00,15.0,4120.166666666667,0.0,5363.745215684502,1243.578549017835,1243.578549017835
CAISO,2026-07-01 22:00:00,5723.419350984675,2026-07-01 06:00:00,16.0,4439.833333333333,0.0,5723.419350984675,1283.5860176513415,1283.5860176513415
CAISO,2026-07-01 23:00:00,5723.794235675058,2026-07-01 06:00:00,17.0,4695.083333333333,0.0,5723.794235675058,1028.7109023417252,1028.7109023417252
CAISO,2026-07-02 00:00:00,5659.661001055049,2026-07-01 12:00:00,12.0,4952.166666666667,0.0,5659.661001055049,707.4943343883824,707.4943343883824
CAISO,2026-07-02 01:00:00,5744.036625720853,2026-07-01 12:00:00,13.0,5340.75,0.0,5744.036625720853,403.2866257208534,403.2866257208534
CAISO,2026-07-02 02:00:00,5819.634967982889,2026-07-01 12:00:00,14.0,5109.0,0.0,5819.634967982889,710.6349679828891,710.6349679828891
CAISO,2026-07-02 03:00:00,6213.507411368696,2026-07-01 12:00:00,15.0,5207.166666666667,0.0,6213.507411368696,1006.340744702029,1006.340744702029
CAISO,2026-07-02 04:00:00,6105.409082052502,2026-07-01 12:00:00,16.0,5395.0,0.0,6105.409082052502,710.4090820525016,710.4090820525016
CAISO,2026-07-02 05:00:00,6008.514061304429,2026-07-01 12:00:00,17.0,,3.949,6004.565061304429,,
CAISO,2026-07-02 06:00:00,5405.257001584791,2026-07-01 18:00:00,12.0,,3.735,5401.522001584792,,
CAISO,2026-07-02 07:00:00,5669.092311401912,2026-07-01 18:00:00,13.0,4788.666666666667,0.0,5669.092311401912,880.4256447352454,880.4256447352454
CAISO,2026-07-02 08:00:00,6274.73065347071,2026-07-01 18:00:00,14.0,5132.666666666667,0.0,6274.73065347071,1142.0639868040435,1142.0639868040435
CAISO,2026-07-02 09:00:00,6291.67387702827,2026-07-01 18:00:00,15.0,5224.833333333333,0.0,6291.67387702827,1066.840543694937,1066.840543694937
CAISO,2026-07-02 10:00:00,6067.237094737056,2026-07-01 18:00:00,16.0,5157.833333333333,0.0,6067.237094737056,909.4037614037234,909.4037614037234
CAISO,2026-07-02 11:00:00,5466.113144691387,2026-07-01 18:00:00,17.0,4956.454545454545,0.0,5466.113144691387,509.65859923684184,509.65859923684184
CAISO,2026-07-02 12:00:00,5637.778832739886,2026-07-02 00:00:00,12.0,4821.416666666667,0.0,5637.778832739886,816.3621660732188,816.3621660732188
CAISO,2026-07-02 13:00:00,4835.521031222973,2026-07-02 00:00:00,13.0,4183.083333333333,0.0,4835.521031222973,652.4376978896398,652.4376978896398
CAISO,2026-07-02 14:00:00,3682.767703709128,2026-07-02 00:00:00,14.0,3824.75,0.0,3682.767703709128,-141.982296290872,-141.982296290872
CAISO,2026-07-02 15:00:00,3261.5438966746424,2026-07-02 00:00:00,15.0,3176.583333333333,0.0,3261.5438966746424,84.96056334130935,84.96056334130935
CAISO,2026-07-02 16:00:00,1852.2291580805568,2026-07-02 00:00:00,16.0,2523.75,0.0,1852.2291580805568,-671.5208419194432,-671.5208419194432
CAISO,2026-07-02 17:00:00,1689.164060468105,2026-07-02 00:00:00,17.0,2434.0,0.0,1689.164060468105,-744.8359395318951,-744.8359395318951
CAISO,2026-07-02 18:00:00,2694.653312098256,2026-07-02 06:00:00,12.0,1874.1666666666667,0.0,2694.653312098256,820.4866454315891,820.4866454315891
CAISO,2026-07-02 19:00:00,2994.990335376117,2026-07-02 06:00:00,13.0,1926.1666666666667,0.0,2994.990335376117,1068.8236687094502,1068.8236687094502
CAISO,2026-07-02 20:00:00,3024.9877819407234,2026-07-02 06:00:00,14.0,2376.6,0.0,3024.9877819407234,648.3877819407235,648.3877819407235
CAISO,2026-07-02 21:00:00,3838.052998052391,2026-07-02 06:00:00,15.0,2885.5,0.0,3838.052998052391,952.5529980523911,952.5529980523911
CAISO,2026-07-02 22:00:00,4158.53088433978,2026-07-02 06:00:00,16.0,3340.333333333333,0.0,4158.53088433978,818.1975510064467,818.1975510064467
CAISO,2026-07-02 23:00:00,4280.375904707536,2026-07-02 06:00:00,17.0,3565.583333333333,0.0,4280.375904707536,714.7925713742034,714.7925713742034
CAISO,2026-07-03 00:00:00,3998.257188127852,2026-07-02 12:00:00,12.0,4169.166666666667,0.0,3998.257188127852,-170.90947853881516,-170.90947853881516
CAISO,2026-07-03 01:00:00,4668.639188440786,2026-07-02 12:00:00,13.0,4359.333333333333,0.0,4668.639188440786,309.30585510745277,309.30585510745277
CAISO,2026-07-03 02:00:00,4881.953781223705,2026-07-02 12:00:00,14.0,4590.416666666667,0.0,4881.953781223705,291.53711455703797,291.53711455703797
CAISO,2026-07-03 03:00:00,5965.161410802269,2026-07-02 12:00:00,15.0,4992.833333333333,0.0,5965.161410802269,972.3280774689356,972.3280774689356
CAISO,2026-07-03 04:00:00,6558.343817677284,2026-07-02 12:00:00,16.0,5345.25,0.0,6558.343817677284,1213.0938176772843,1213.0938176772843
CAISO,2026-07-03 05:00:00,6505.408874723388,2026-07-02 12:00:00,17.0,5439.0,0.0,6505.408874723388,1066.4088747233882,1066.4088747233882
CAISO,2026-07-03 06:00:00,6625.179152885618,2026-07-02 18:00:00,12.0,4978.583333333333,0.0,6625.179152885618,1646.5958195522853,1646.5958195522853
CAISO,2026-07-03 07:00:00,6412.770644492973,2026-07-02 18:00:00,13.0,4687.0,0.0,6412.770644492973,1725.7706444929727,1725.7706444929727
CAISO,2026-07-03 08:00:00,6352.056850052201,2026-07-02 18:00:00,14.0,4715.583333333333,0.0,6352.056850052201,1636.4735167188683,1636.4735167188683
